date,Qgage,Qmodel,diff,month,lambda,water_year
1951-10-01,40.99999999993955,33.81387878598855,-7.186121213950997,10,-0.1927007335230415,1952
1951-10-02,42.999999999921165,31.503244126382544,-11.49675587353862,10,-0.31110958702392766,1952
1951-10-03,39.99999999994874,29.569287205469536,-10.430712794479206,10,-0.30214322586618164,1952
1951-10-04,37.99999999996713,27.73595906295173,-10.264040937015398,10,-0.31485642729745966,1952
1951-10-05,37.99999999996713,25.781111116510377,-12.218888883456753,10,-0.38794406320103736,1952
1951-10-06,37.99999999996713,23.86280798401767,-14.13719201594946,10,-0.46526506414541274,1952
1951-10-07,42.999999999921165,33.30212187368267,-9.697878126238493,10,-0.2555790008049488,1952
1951-10-08,137.9999999999972,67.9842923308596,-70.01570766913761,10,-0.7079770017989805,1952
1951-10-09,108.99999999994736,116.79006905485346,7.790069054906112,10,0.06903015933532168,1952
1951-10-10,105.99999999997492,138.43056139164952,32.4305613916746,10,0.2669297439985707,1952
1951-10-11,117.00000000003205,133.8780172080827,16.87801720805065,10,0.13475513121793536,1952
1951-10-12,139.99999999997883,141.0423247833401,1.0423247833612663,10,0.007417598493652604,1952
1951-10-13,143.99999999994205,161.50885122732276,17.508851227380717,10,0.11474664794643091,1952
1951-10-14,139.99999999997883,161.41399177261098,21.41399177263216,10,0.14233001951029112,1952
1951-10-15,134.000000000034,142.592165740016,8.592165739981994,10,0.06214876781027897,1952
1951-10-16,127.9999999999309,125.24686600793382,-2.753133991997089,10,-0.021743546159899995,1952
1951-10-17,124.9999999999585,114.68067808151162,-10.319321918446889,10,-0.08616218349026236,1952
1951-10-18,121.99999999998607,106.44564043338096,-15.5543595666051,10,-0.13638660835741723,1952
1951-10-19,114.0000000000596,98.80194778076851,-15.1980522192911,10,-0.14308112945527388,1952
1951-10-20,105.99999999997492,91.7071365772198,-14.292863422755104,10,-0.14483889260806804,1952
1951-10-21,101.00000000002088,85.12179251621856,-15.878207483802328,10,-0.17103743277368635,1952
1951-10-22,96.00000000006686,79.00933157010172,-16.99066842996514,10,-0.19478222483673574,1952
1951-10-23,92.9999999999362,73.36746171453322,-19.632538285402987,10,-0.23711895671090655,1952
1951-10-24,84.00000000001896,82.4261034027114,-1.5738965973075525,10,-0.018914623227255158,1952
1951-10-25,178.99999999993676,120.36794885062916,-58.632051149307614,10,-0.39683251396422903,1952
1951-10-26,173.99999999998272,171.78360005636475,-2.216399943617972,10,-0.012819753729759893,1952
1951-10-27,173.99999999998272,187.59556454821367,13.595564548230954,10,0.07523309394500186,1952
1951-10-28,173.99999999998272,168.15537934695087,-5.844620653031853,10,-0.034166870181250225,1952
1951-10-29,167.00000000004707,150.6830367709908,-16.316963229056256,10,-0.1028152760201278,1952
1951-10-30,170.00000000001947,146.10897018948535,-23.89102981053412,10,-0.15144572257762,1952
1951-10-31,162.9999999999256,141.44305196800622,-21.556948031919376,10,-0.14185302432167232,1952
1951-11-01,188.00000000001225,144.39759857310943,-43.602401426902816,11,-0.26387136688970336,1952
1951-11-02,211.99999999994984,184.92734717909624,-27.07265282085362,11,-0.13662324467817177,1952
1951-11-03,470.9999999999424,302.22856752264823,-168.77143247729413,11,-0.4436745168035231,1952
1951-11-04,563.000000000046,467.0544695234071,-95.94553047663896,11,-0.18683374017736187,1952
1951-11-05,585.0000000000019,576.9299636239297,-8.070036376072267,11,-0.01389096829209482,1952
1951-11-06,585.0000000000019,549.9490844881369,-35.050915511865014,11,-0.06178614694848158,1952
1951-11-07,671.9999999999933,498.1001101950267,-173.89988980496662,11,-0.29945725921319616,1952
1951-11-08,761.9999999999571,522.730651279436,-239.2693487205212,11,-0.37688023139726984,1952
1951-11-09,736.0000000000379,589.8710571333893,-146.12894286664857,11,-0.22132615294563232,1952
1951-11-10,741.9999999999826,581.3761203269204,-160.62387967306222,11,-0.24395132859520358,1952
1951-11-11,696.9999999999218,516.2030951497755,-180.79690485014623,11,-0.30028512746563807,1952
1951-11-12,644.9999999999251,457.5445525200024,-187.45544747992275,11,-0.3433760542640714,1952
1951-11-13,602.9999999999947,420.9069361042786,-182.09306389571609,11,-0.3595054418650532,1952
1951-11-14,580.000000000048,405.4061605145109,-174.5938394855371,11,-0.35813867349969947,1952
1951-11-15,585.0000000000019,417.0551907071484,-167.94480929285356,11,-0.3383932823750835,1952
1951-11-16,580.000000000048,459.3140457181375,-120.68595428191048,11,-0.2332939319706596,1952
1951-11-17,597.0000000000499,502.6544988016205,-94.34550119842942,11,-0.17201406041395512,1952
1951-11-18,563.000000000046,528.0283121478574,-34.971687852188666,11,-0.06412972437893738,1952
1951-11-19,540.9999999999318,503.2351833610518,-37.764816638880006,11,-0.0723616566653866,1952
1951-11-20,503.9999999999554,449.9278813651699,-54.07211863478551,11,-0.11348896178345863,1952
1951-11-21,465.9999999999883,403.19539251597655,-62.80460748401174,11,-0.14476434472547875,1952
1951-11-22,445.0000000000232,371.1821354709995,-73.81786452902367,11,-0.18138140883746937,1952
1951-11-23,424.0000000000579,349.1019944057713,-74.89800559428664,11,-0.19436932814466668,1952
1951-11-24,440.0000000000691,340.2276897564404,-99.77231024362874,11,-0.25715965768076976,1952
1951-11-25,429.000000000012,340.25937732244995,-88.74062267756199,11,-0.231748717680871,1952
1951-11-26,445.0000000000232,341.52437614687625,-103.47562385314694,11,-0.2646552260633908,1952
1951-11-27,408.0000000000469,341.35121951476066,-66.64878048528618,11,-0.1783552579236632,1952
1951-11-28,360.0000000000133,339.9042680860037,-20.095731914009605,11,-0.05744001793962871,1952
1951-11-29,405.0000000000744,316.09623470284134,-88.90376529723306,11,-0.24784035968389945,1952
1951-11-30,390.00000000005406,284.5701305475033,-105.42986945255076,11,-0.315167011374058,1952
1951-12-01,366.999999999949,272.1829123245129,-94.81708767543608,12,-0.2988875359849679,1952
1951-12-02,345.99999999998386,283.5121204448841,-62.48787955509977,12,-0.19918389991174226,1952
1951-12-03,336.00000000007583,296.79354110769606,-39.20645889237977,12,-0.12407441067351793,1952
1951-12-04,315.9999999999432,281.04150007238144,-34.95849992756172,12,-0.11723986806732593,1952
1951-12-05,330.9999999999635,270.165559303176,-60.83444069678751,12,-0.20308342169386012,1952
1951-12-06,393.0000000000264,290.4741827471853,-102.52581725284108,12,-0.30229491130918795,1952
1951-12-07,388.0000000000724,322.160712315025,-65.8392876850474,12,-0.18595481202290615,1952
1951-12-08,372.0000000000613,328.8585822295654,-43.141417770495934,12,-0.12326603716369157,1952
1951-12-09,397.9999999999805,327.71216390450604,-70.28783609547446,12,-0.1943163312434724,1952
1951-12-10,393.0000000000264,335.42328724144653,-57.5767127585799,12,-0.1584163336398716,1952
1951-12-11,397.9999999999805,332.39328916641506,-65.60671083356544,12,-0.18013313153693572,1952
1951-12-12,388.0000000000724,307.77237131945043,-80.22762868062199,12,-0.23164488404267,1952
1951-12-13,349.9999999999471,277.0321472314868,-72.96785276846026,12,-0.23379960004251163,1952
1951-12-14,329.9999999999727,252.61342510032887,-77.38657489964385,12,-0.26723229829074635,1952
1951-12-15,299.999999999932,233.6360463939,-66.363953606032,12,-0.25001792741312207,1952
1951-12-16,270.0000000000496,216.85901237037723,-53.1409876296724,12,-0.21917452919168828,1952
1951-12-17,270.0000000000496,201.28671055736228,-68.71328944268734,12,-0.2936916466276705,1952
1951-12-18,290.000000000024,186.8326310451179,-103.1673689549061,12,-0.4396677280456966,1952
1951-12-19,309.99999999999835,173.41647606334936,-136.583523936649,12,-0.5808762199802631,1952
1951-12-20,349.9999999999471,160.96371389732172,-189.03628610262533,12,-0.7767541944203668,1952
1951-12-21,519.9999999999666,162.6943000845236,-357.305699915443,12,-1.161955831249139,1952
1951-12-22,650.0000000000374,188.01722772724213,-461.9827722727953,12,-1.2404387674111579,1952
1951-12-23,630.000000000063,221.272075731908,-408.727924268155,12,-1.046326763155707,1952
1951-12-24,600.0000000000223,221.48489983463057,-378.5151001653917,12,-0.9965752403589813,1952
1951-12-25,569.9999999999816,196.1698050638148,-373.8301949361668,12,-1.0666557242982446,1952
1951-12-26,530.0000000000329,172.55047089293174,-357.4495291071011,12,-1.122187227982865,1952
1951-12-27,499.99999999999216,158.0988787713301,-341.9011212286621,12,-1.1513874461273426,1952
1951-12-28,460.0000000000434,146.7460489782958,-313.25395102174764,12,-1.142522954624384,1952
1951-12-29,449.9999999999772,136.20844789093766,-313.7915521090396,12,-1.195061165341446,1952
1951-12-30,449.9999999999772,143.33476019416491,-306.6652398058123,12,-1.1440647079513544,1952
1951-12-31,489.99999999992593,196.7712468149957,-293.22875318493027,12,-0.9123635207428752,1952
1952-01-01,530.0000000000329,322.78970720217,-207.21029279786285,1,-0.49587595664960404,1952
1952-01-02,560.0000000000736,484.82350259394775,-75.1764974061258,1,-0.14415187120137576,1952
1952-01-03,560.0000000000736,604.634341108494,44.63434110842047,1,0.07668709671932009,1952
1952-01-04,539.999999999941,606.90423657726,66.90423657731901,1,0.1168018739434652,1952
1952-01-05,510.00000000005855,527.148945157736,17.148945157677417,1,0.033072411273799084,1952
1952-01-06,499.99999999999216,453.6035556311974,-46.39644436879473,1,-0.09738450734624016,1952
1952-01-07,449.9999999999772,411.1781987700235,-38.82180122995368,1,-0.09022088858428301,1952
1952-01-08,399.9999999999621,381.6521443063848,-18.347855693577344,1,-0.0469549703638378,1952
1952-01-09,440.0000000000691,354.2463089954094,-85.75369100465974,1,-0.21678226760439662,1952
1952-01-10,399.9999999999621,328.8084432616972,-71.19155673826498,1,-0.19598920523580235,1952
1952-01-11,369.99999999992144,305.1972303304417,-64.80276966947974,1,-0.1925447812019553,1952
1952-01-12,399.9999999999621,283.281501160354,-116.71849883960812,1,-0.34502344010776703,1952
1952-01-13,379.9999999999878,262.9395057510106,-117.0604942489772,1,-0.3682472631562613,1952
