Site Number,Lambda_Mean_MR_Snow_Pval,Lambda_LSc_MR_Snow_Pval,Lambda_LSk_MR_Snow_Pval,Lambda_LKur_MR_Snow_Pval
1094400,0.8273117319505745,0.0134485552556962,0.01584535117085903,0.3353252336073664
1094500,0.3238590041183526,0.001986039860247234,0.0003064843936464487,0.6593824142606939
1095220,0.3393237455923893,0.1055617453354026,0.1222134165829758,0.125449558917772
1096000,0.05990764720836308,2.201729586130623e-05,0.1015252410744838,0.6147554521498744
1096500,0.8362006100061962,0.002996384768283244,0.3322252349097741,0.3601165041039317
1097000,0.06021920152730552,4.944365969094098e-05,0.1921657567437683,0.001973895916434198
1097300,0.3302500833010052,0.006838211832356022,0.5000765711190395,0.01327505676238314
1098530,0.3848401306214437,0.008285955132937872,0.0003743235978719716,0.1779780281806292
1099500,0.01781283523656184,3.805831546029494e-06,0.6012474664661147,0.07222225665686814
1100000,0.01381445609964856,0.002917922238426805,5.58858725696118e-05,0.6739707430573969
1101000,0.4751214054255406,6.798154510368025e-05,0.9003117857342706,0.1021669790513072
1101500,0.5557418819347999,0.006747887303599629,0.1361005087759674,0.03221686308246997
1102000,0.05571354366737705,0.0001706823214740661,0.09998410384087375,0.004062559264039148
1102345,0.484406788587189,0.7817005806502243,0.3637372690229783,0.0518663089619212
1103500,0.6820473832676887,7.82343787206407e-05,0.1811252635770107,0.00694048337552436
1104200,0.7728694890436311,0.0002653970648550085,0.004316163155707152,0.5359934164977791
1104500,0.9641853073473555,0.005135235990576763,0.0106176255094608,0.7713732863996839
1105000,0.4777809249616867,0.005775019322568997,0.3214912705617402,0.3697741760763135
1105500,0.718122116074134,0.2311537988457127,0.4749311416073084,0.2595500665442998
1105600,0.002242752052628423,0.008817926723141717,0.7003061750557069,0.09701730139562272
1105730,0.4175777009512179,0.006943268220911276,0.5466759380141485,0.1426124543960949
1105870,0.003413397145387621,0.4068607064249236,0.02231152651044678,0.2192556470608457
1105880,0.009087422890934043,0.01329772141590253,0.017672440386658,0.0406289028139873
1105933,0.8983982922014333,0.1620448341918778,0.01444358996721948,0.003298520493221141
1108000,0.9606761697293744,0.0008509956638708431,0.01449970820978246,0.04561479071558478
1108500,0.002383501567444994,0.001308670194572952,0.3977000453700776,0.1022224966451454
1109000,0.03713641092238076,4.012325073021708e-05,0.5151836498306275,0.04546581892171041
1109060,0.02749789526357822,0.0001562922791984096,0.1175415283476852,0.374765549830445
1109070,0.04333085129271037,0.002533398871486832,0.132385147034131,0.04345355047729105
1109500,0.00052701740243472,0.001611519850647722,0.8932700370334505,0.008010622444580905
1110000,0.009697823752578083,0.002799035224224321,0.0004314550113026081,0.8891862908516456
1110500,0.5466501741300187,0.000887267480533123,0.0001289816665568063,0.2720383838112958
1123360,0.02953564361916012,9.905908165739522e-05,0.005879256324749519,0.5960495917919886
1123600,0.0004850369629896845,0.008103143612389577,0.01615219115389182,0.186159314342037
1124350,0.2351300276490391,0.2926650216979355,0.8846741105057021,0.7494405753486182
1161500,0.008821357390275161,0.001462855221956264,0.00667001471923834,0.5714059474364748
1162000,0.6255148430144482,0.03775971069031423,0.02603043725491319,0.5348887867106962
1162500,0.2514501343484052,0.03804277029677387,0.001279792315743154,0.02625453770161469
1163200,0.06509517248101707,9.025598015336701e-05,0.3552988610924694,0.9067609599535481
